key,capabilityId,capabilityName,scenarioId,scenarioName,input,event,outcome,products,dependencies,providers,actors,altitude,notes,source
adapt-job-market-intelligence-evidence::adapt-job-market-intelligence-evidence,adapt-job-market-intelligence-evidence,Adapt one Job Market Intelligence evidence record,adapt-job-market-intelligence-evidence,Adapt one Job Market Intelligence evidence record,"[{""text"": ""one JMI record reference, one admitted JMI record type, one content digest, one adapter authority identity, and one observation window"", ""line"": 25}]","[{""text"": ""the JMI evidence adaptation is evaluated"", ""line"": 26}]","[{""text"": ""the adaptation is ADAPTED_EVIDENCE_BINDING or ADAPTATION_HELD with the exact holding finding, and a receipt binds the JMI record reference, type, digest, and disposition"", ""line"": 27}]","[""job-market-intelligence-adapter-record""]",[],[],"[""market""]",,"  Market observes. Market intelligence interprets. Strategy governs.

  This capability owns the typed entry point for Job Market
  Intelligence records into the SideFX market evidence plane. Its
  input is one JMI record reference, its admitted record type, its
  content digest, the adapter authority, and the observation window.
  Its outcome is ADAPTED_EVIDENCE_BINDING or ADAPTATION_HELD. The
  adapter binds the JMI identity and digest as a typed reference; it
  never copies untyped JSON into market evidence and never treats the
  referenced JMI content as admitted SideFX evidence by itself.","{""capsuleFile"": ""adapt-job-market-intelligence-evidence.sfxcap"", ""capsuleDigest"": ""sha256:67baf7167e0899202ff9ecab0eec638a617b03622a8843f152e3b5edbae56fc3"", ""featureEntry"": ""features/adapt-job-market-intelligence-evidence.feature"", ""featureDigest"": ""sha256:9b5f5c321d264be753a5d824203c81c01f16905f7852df860eadb4a4535741b1"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/adapt-job-market-intelligence-evidence.feature"", ""scenarioLine"": 24}"
adapt-job-market-intelligence-evidence::verify-jmi-record-binding,adapt-job-market-intelligence-evidence,Adapt one Job Market Intelligence evidence record,verify-jmi-record-binding,Verify the JMI record binding,"[{""text"": ""one JMI record reference and one JMI content digest"", ""line"": 38}]","[{""text"": ""record binding verification is evaluated"", ""line"": 39}]","[{""text"": ""the reference and the content digest are declared, reporting JMI_RECORD_UNBOUND otherwise"", ""line"": 40}]","[""job-market-intelligence-adapter-record""]",[],[],"[""market""]",,"  Market observes. Market intelligence interprets. Strategy governs.

  This capability owns the typed entry point for Job Market
  Intelligence records into the SideFX market evidence plane. Its
  input is one JMI record reference, its admitted record type, its
  content digest, the adapter authority, and the observation window.
  Its outcome is ADAPTED_EVIDENCE_BINDING or ADAPTATION_HELD. The
  adapter binds the JMI identity and digest as a typed reference; it
  never copies untyped JSON into market evidence and never treats the
  referenced JMI content as admitted SideFX evidence by itself.","{""capsuleFile"": ""adapt-job-market-intelligence-evidence.sfxcap"", ""capsuleDigest"": ""sha256:67baf7167e0899202ff9ecab0eec638a617b03622a8843f152e3b5edbae56fc3"", ""featureEntry"": ""features/adapt-job-market-intelligence-evidence.feature"", ""featureDigest"": ""sha256:9b5f5c321d264be753a5d824203c81c01f16905f7852df860eadb4a4535741b1"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/adapt-job-market-intelligence-evidence.feature"", ""scenarioLine"": 37}"
adapt-job-market-intelligence-evidence::verify-jmi-type-admission,adapt-job-market-intelligence-evidence,Adapt one Job Market Intelligence evidence record,verify-jmi-type-admission,Verify the JMI record type against the admitted adapter vocabulary,"[{""text"": ""one JMI record type and one adapter authority identity"", ""line"": 51}]","[{""text"": ""type admission verification is evaluated"", ""line"": 52}]","[{""text"": ""the type is one of the admitted JMI record types under the adapter authority, reporting JMI_RECORD_TYPE_UNADMITTED or ADAPTER_AUTHORITY_UNADMITTED otherwise"", ""line"": 53}]","[""job-market-intelligence-adapter-record""]",[],[],"[""market""]",,"  Market observes. Market intelligence interprets. Strategy governs.

  This capability owns the typed entry point for Job Market
  Intelligence records into the SideFX market evidence plane. Its
  input is one JMI record reference, its admitted record type, its
  content digest, the adapter authority, and the observation window.
  Its outcome is ADAPTED_EVIDENCE_BINDING or ADAPTATION_HELD. The
  adapter binds the JMI identity and digest as a typed reference; it
  never copies untyped JSON into market evidence and never treats the
  referenced JMI content as admitted SideFX evidence by itself.","{""capsuleFile"": ""adapt-job-market-intelligence-evidence.sfxcap"", ""capsuleDigest"": ""sha256:67baf7167e0899202ff9ecab0eec638a617b03622a8843f152e3b5edbae56fc3"", ""featureEntry"": ""features/adapt-job-market-intelligence-evidence.feature"", ""featureDigest"": ""sha256:9b5f5c321d264be753a5d824203c81c01f16905f7852df860eadb4a4535741b1"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/adapt-job-market-intelligence-evidence.feature"", ""scenarioLine"": 50}"
adapt-job-market-intelligence-evidence::bind-jmi-adapter-receipt,adapt-job-market-intelligence-evidence,Adapt one Job Market Intelligence evidence record,bind-jmi-adapter-receipt,Bind one JMI adapter receipt,"[{""text"": ""one adaptation disposition over one JMI record reference"", ""line"": 64}]","[{""text"": ""the adapter receipt is bound"", ""line"": 65}]","[{""text"": ""the JMI record reference, record type, content digest, and disposition bind into one replayable JMI adapter receipt"", ""line"": 66}]","[""job-market-intelligence-adapter-record""]",[],[],"[""market""]",,"  Market observes. Market intelligence interprets. Strategy governs.

  This capability owns the typed entry point for Job Market
  Intelligence records into the SideFX market evidence plane. Its
  input is one JMI record reference, its admitted record type, its
  content digest, the adapter authority, and the observation window.
  Its outcome is ADAPTED_EVIDENCE_BINDING or ADAPTATION_HELD. The
  adapter binds the JMI identity and digest as a typed reference; it
  never copies untyped JSON into market evidence and never treats the
  referenced JMI content as admitted SideFX evidence by itself.","{""capsuleFile"": ""adapt-job-market-intelligence-evidence.sfxcap"", ""capsuleDigest"": ""sha256:67baf7167e0899202ff9ecab0eec638a617b03622a8843f152e3b5edbae56fc3"", ""featureEntry"": ""features/adapt-job-market-intelligence-evidence.feature"", ""featureDigest"": ""sha256:9b5f5c321d264be753a5d824203c81c01f16905f7852df860eadb4a4535741b1"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/adapt-job-market-intelligence-evidence.feature"", ""scenarioLine"": 63}"
admit-canonical-circuit-blueprint::admit-canonical-circuit-blueprint,admit-canonical-circuit-blueprint,Admit one canonical circuit blueprint,admit-canonical-circuit-blueprint,Emit immutable blueprint authority only when every admission obligation closes,"[{""text"": ""one blueprint candidate with its conformance evidence, geometry proof, and review receipt"", ""line"": 28}]","[{""text"": ""each required obligation is resolved and the reviewed digests are compared with the candidate authority"", ""line"": 29}]","[{""text"": ""immutable blueprint authority with a stable digest is emitted only when every obligation closes, and otherwise an exact rejection naming the unmet obligation is returned"", ""line"": 30}]","[""admitted-canonical-circuit-blueprint""]",[],[],"[""role""]",,"  Admission is the only step that converts a blueprint candidate into immutable
  authority eligible to guide fabrication. Everything reaching it is testimony:
  conformance evidence, geometry proof, projection receipts, and human review
  are each consumed as inputs to a decision none of them can make alone.

  This capability requires deterministic conformance, a geometry proof, and one
  current approved review receipt, and proves that the reviewed digests still
  match the candidate authority. A successful projection, a green gate, or a
  zero exit code does not establish eligibility.

  Once admitted, the blueprint becomes the fixed map every later authoring
  request, integration, closure decision, human view, and proof obligation must
  resolve from by digest.","{""capsuleFile"": ""admit-canonical-circuit-blueprint.sfxcap"", ""capsuleDigest"": ""sha256:3402da405d8f869200cde168f15f9293c086fb9435dbacd564e588477c81cbf3"", ""featureEntry"": ""features/admit-canonical-circuit-blueprint.feature"", ""featureDigest"": ""sha256:66ce0c6ce0e0b73b5af92c56febe31ead9a52370f4826fee7bf410e46647f87b"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-canonical-circuit-blueprint.feature"", ""scenarioLine"": 27}"
admit-canonical-circuit-blueprint::require-blueprint-conformance-evidence,admit-canonical-circuit-blueprint,Admit one canonical circuit blueprint,require-blueprint-conformance-evidence,Require conformance evidence bound to this candidate digest,"[{""text"": ""one admission request naming a candidate and its conformance evidence"", ""line"": 40}]","[{""text"": ""the evidence is resolved and its bound digest is compared with the candidate"", ""line"": 41}]","[{""text"": ""evidence carrying findings, evidence bound to a different digest, and absent evidence are each unmet obligations"", ""line"": 42}]","[""conformance-obligation-disposition""]",[],[],"[""role""]",,"  Admission is the only step that converts a blueprint candidate into immutable
  authority eligible to guide fabrication. Everything reaching it is testimony:
  conformance evidence, geometry proof, projection receipts, and human review
  are each consumed as inputs to a decision none of them can make alone.

  This capability requires deterministic conformance, a geometry proof, and one
  current approved review receipt, and proves that the reviewed digests still
  match the candidate authority. A successful projection, a green gate, or a
  zero exit code does not establish eligibility.

  Once admitted, the blueprint becomes the fixed map every later authoring
  request, integration, closure decision, human view, and proof obligation must
  resolve from by digest.","{""capsuleFile"": ""admit-canonical-circuit-blueprint.sfxcap"", ""capsuleDigest"": ""sha256:3402da405d8f869200cde168f15f9293c086fb9435dbacd564e588477c81cbf3"", ""featureEntry"": ""features/admit-canonical-circuit-blueprint.feature"", ""featureDigest"": ""sha256:66ce0c6ce0e0b73b5af92c56febe31ead9a52370f4826fee7bf410e46647f87b"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-canonical-circuit-blueprint.feature"", ""scenarioLine"": 39}"
admit-canonical-circuit-blueprint::require-blueprint-geometry-proof,admit-canonical-circuit-blueprint,Admit one canonical circuit blueprint,require-blueprint-geometry-proof,Require a conforming geometry proof bound to this candidate digest,"[{""text"": ""one admission request naming a candidate and its geometry proof"", ""line"": 52}]","[{""text"": ""the proof is resolved and its counted summary and disposition are inspected"", ""line"": 53}]","[{""text"": ""a holding disposition, a summary whose totals do not reconcile, and a proof bound to a different digest are each unmet obligations"", ""line"": 54}]","[""geometry-obligation-disposition""]",[],[],"[""role""]",,"  Admission is the only step that converts a blueprint candidate into immutable
  authority eligible to guide fabrication. Everything reaching it is testimony:
  conformance evidence, geometry proof, projection receipts, and human review
  are each consumed as inputs to a decision none of them can make alone.

  This capability requires deterministic conformance, a geometry proof, and one
  current approved review receipt, and proves that the reviewed digests still
  match the candidate authority. A successful projection, a green gate, or a
  zero exit code does not establish eligibility.

  Once admitted, the blueprint becomes the fixed map every later authoring
  request, integration, closure decision, human view, and proof obligation must
  resolve from by digest.","{""capsuleFile"": ""admit-canonical-circuit-blueprint.sfxcap"", ""capsuleDigest"": ""sha256:3402da405d8f869200cde168f15f9293c086fb9435dbacd564e588477c81cbf3"", ""featureEntry"": ""features/admit-canonical-circuit-blueprint.feature"", ""featureDigest"": ""sha256:66ce0c6ce0e0b73b5af92c56febe31ead9a52370f4826fee7bf410e46647f87b"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-canonical-circuit-blueprint.feature"", ""scenarioLine"": 51}"
admit-canonical-circuit-blueprint::require-current-approved-review-receipt,admit-canonical-circuit-blueprint,Admit one canonical circuit blueprint,require-current-approved-review-receipt,Require one current approved review receipt whose digests still match,"[{""text"": ""one admission request naming a candidate and its review receipt"", ""line"": 64}]","[{""text"": ""the receipt disposition is resolved and every reviewed digest is compared with the current candidate authority"", ""line"": 65}]","[{""text"": ""a hold or reject disposition, a receipt whose reviewed digests no longer match, and an absent receipt are each unmet obligations, and no assurance profile waives this requirement"", ""line"": 66}]","[""review-obligation-disposition""]",[],[],"[""role""]",,"  Admission is the only step that converts a blueprint candidate into immutable
  authority eligible to guide fabrication. Everything reaching it is testimony:
  conformance evidence, geometry proof, projection receipts, and human review
  are each consumed as inputs to a decision none of them can make alone.

  This capability requires deterministic conformance, a geometry proof, and one
  current approved review receipt, and proves that the reviewed digests still
  match the candidate authority. A successful projection, a green gate, or a
  zero exit code does not establish eligibility.

  Once admitted, the blueprint becomes the fixed map every later authoring
  request, integration, closure decision, human view, and proof obligation must
  resolve from by digest.","{""capsuleFile"": ""admit-canonical-circuit-blueprint.sfxcap"", ""capsuleDigest"": ""sha256:3402da405d8f869200cde168f15f9293c086fb9435dbacd564e588477c81cbf3"", ""featureEntry"": ""features/admit-canonical-circuit-blueprint.feature"", ""featureDigest"": ""sha256:66ce0c6ce0e0b73b5af92c56febe31ead9a52370f4826fee7bf410e46647f87b"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-canonical-circuit-blueprint.feature"", ""scenarioLine"": 63}"
admit-canonical-circuit-blueprint::emit-immutable-blueprint-authority,admit-canonical-circuit-blueprint,Admit one canonical circuit blueprint,emit-immutable-blueprint-authority,Emit the fixed map every later authoring request must resolve from,"[{""text"": ""every admission obligation resolved as met for one candidate"", ""line"": 76}]","[{""text"": ""the candidate disposition is advanced to ADMITTED and its authority digest is bound"", ""line"": 77}]","[{""text"": ""immutable blueprint authority is emitted with a stable digest, and its emission claims no fabrication, projection, or capability admission of its own"", ""line"": 78}]","[""admitted-canonical-circuit-blueprint""]",[],[],"[""role""]",,"  Admission is the only step that converts a blueprint candidate into immutable
  authority eligible to guide fabrication. Everything reaching it is testimony:
  conformance evidence, geometry proof, projection receipts, and human review
  are each consumed as inputs to a decision none of them can make alone.

  This capability requires deterministic conformance, a geometry proof, and one
  current approved review receipt, and proves that the reviewed digests still
  match the candidate authority. A successful projection, a green gate, or a
  zero exit code does not establish eligibility.

  Once admitted, the blueprint becomes the fixed map every later authoring
  request, integration, closure decision, human view, and proof obligation must
  resolve from by digest.","{""capsuleFile"": ""admit-canonical-circuit-blueprint.sfxcap"", ""capsuleDigest"": ""sha256:3402da405d8f869200cde168f15f9293c086fb9435dbacd564e588477c81cbf3"", ""featureEntry"": ""features/admit-canonical-circuit-blueprint.feature"", ""featureDigest"": ""sha256:66ce0c6ce0e0b73b5af92c56febe31ead9a52370f4826fee7bf410e46647f87b"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-canonical-circuit-blueprint.feature"", ""scenarioLine"": 75}"
admit-capability-authority::evaluate-capability-authority-admission,admit-capability-authority,Admit exact capability authority before capsule sealing,evaluate-capability-authority-admission,Evaluate capability authority admission,"[{""text"": ""one exact reviewed and proof-complete target-neutral capability candidate"", ""line"": 15}]","[{""text"": ""capability authority admission is evaluated against exact review and proof lineage"", ""line"": 16}]","[{""text"": ""the candidate is classified as admitted or held"", ""line"": 17}]","[""admission-classified""]",[],[],"[""capability lifecycle operator""]",,  Admit exact proof-complete capability authority before capsule sealing without publishing or mutating the estate.,"{""capsuleFile"": ""admit-capability-authority.sfxcap"", ""capsuleDigest"": ""sha256:5b10e08c41847175f623ed94244719853db441a9bcf7a3fe938bcc6fdac4af67"", ""featureEntry"": ""features/admit-capability-authority.feature"", ""featureDigest"": ""sha256:84867de1fc47c4df28c26f399235c996d829277e23a2debe98e17c1fbabc5fb6"", ""estateManifestDigest"": ""sha256:0b02db7ee691898d499cb9046737dce3f7c34aa8e1e3d6ca4908afeb823fb802"", ""snapshot"": ""data/source-features/admit-capability-authority.feature"", ""scenarioLine"": 14}"
